FECHA,TMAX,TMIN,NOMBRE
29102023,8.0,1.9,SAN JULIAN AERO
29102023,33.1,17.3,SAN LUIS AERO
29102023,34.7,13.0,SAN MARTIN (MZA)
29102023,31.0,16.1,SAN RAFAEL AERO
29102023,8.3,1.6,SANTA CRUZ AERO
29102023,25.4,10.9,SANTA ROSA AERO
29102023,35.1,,SANTA ROSA DE CONLARA AERO
29102023,41.0,22.4,SANTIAGO DEL ESTERO AERO
29102023,33.7,20.5,SAUCE VIEJO AERO
29102023,37.0,21.2,SUNCHALES AERO
29102023,22.0,12.4,TANDIL AERO
29102023,,20.5,TARTAGAL AERO
29102023,40.2,20.0,TERMAS DE RIO HONDO AERO
29102023,36.6,24.5,TINOGASTA
29102023,17.8,7.2,TRELEW AERO
29102023,24.6,13.4,TRENQUE LAUQUEN
29102023,24.6,13.7,TRES ARROYOS
29102023,38.2,19.2,TUCUMAN AERO
29102023,5.9,0.2,USHUAIA AERO
29102023,19.7,8.6,USPALLATA
29102023,27.5,18.5,VENADO TUERTO AERO
29102023,23.5,10.2,VICTORICA
29102023,23.9,10.5,VIEDMA AERO
29102023,40.2,22.7,VILLA DE MARIA DEL RIO SECO
29102023,35.0,15.4,VILLA DOLORES AERO
29102023,22.1,14.1,VILLA GESELL AERO
29102023,26.2,10.6,VILLA REYNOLDS AERO
28102023,26.0,18.7,AEROPARQUE AERO
28102023,28.0,13.7,AZUL AERO
28102023,31.4,8.8,BAHIA BLANCA AERO
28102023,8.4,0.1,BARILOCHE AERO
28102023,-5.0,-13.1,BASE BELGRANO II
28102023,-6.8,-14.6,BASE CARLINI (EX JUBANY)
28102023,-9.4,-13.4,BASE ESPERANZA
28102023,-11.1,-15.2,BASE MARAMBIO
28102023,-4.6,-10.0,BASE ORCADAS
28102023,-1.3,-8.6,BASE SAN MARTIN
28102023,26.3,12.0,BENITO JUAREZ AERO
28102023,19.5,16.2,BERNARDO DE IRIGOYEN AERO
28102023,30.0,11.2,BOLIVAR AERO
28102023,27.9,18.8,BUENOS AIRES OBSERVATORIO
28102023,29.6,17.2,CAMPO DE MAYO AERO
28102023,37.4,16.9,CATAMARCA AERO
28102023,33.6,16.4,CERES AERO
28102023,36.6,15.0,CHAMICAL AERO
28102023,10.0,1.0,CHAPELCO AERO
28102023,36.5,17.5,CHEPES
28102023,36.5,14.0,CHILECITO AERO
28102023,23.6,16.0,CIPOLLETTI
28102023,21.6,8.9,COMODORO RIVADAVIA AERO
28102023,30.2,17.2,CONCORDIA AERO
28102023,32.5,11.6,CORDOBA AERO
28102023,32.3,13.6,CORDOBA OBSERVATORIO
28102023,26.9,8.0,CORONEL SUAREZ AERO
28102023,26.7,21.5,CORRIENTES AERO
28102023,,15.1,DOLORES AERO
28102023,11.5,3.5,EL BOLSON AERO
28102023,11.9,-1.0,EL CALAFATE AERO
28102023,29.5,16.5,EL PALOMAR AERO
28102023,,11.0,ESCUELA DE AVIACION MILITAR AERO
28102023,9.5,0.6,ESQUEL AERO
28102023,29.5,16.2,EZEIZA AERO
28102023,24.1,20.3,FORMOSA AERO
28102023,31.5,10.0,GENERAL PICO AERO
28102023,14.0,5.0,GOBERNADOR GREGORES AERO
28102023,28.2,16.4,GUALEGUAYCHU AERO
28102023,21.2,19.4,IGUAZU AERO
28102023,23.0,20.6,ITUZAINGO
28102023,35.0,6.0,JACHAL
28102023,35.6,17.0,JUJUY AERO
28102023,33.0,14.5,JUJUY U N
28102023,29.1,11.8,JUNIN AERO
28102023,26.3,17.0,LA PLATA AERO
28102023,22.5,3.4,LA QUIACA OBSERVATORIO
28102023,36.6,16.9,LA RIOJA AERO
28102023,29.3,9.9,LABOULAYE AERO
28102023,29.5,14.0,LAS FLORES
28102023,32.0,23.8,LAS LOMITAS
28102023,17.2,5.2,MALARGUE AERO
28102023,14.0,3.8,MAQUINCHAO
28102023,27.8,12.4,MAR DEL PLATA AERO
28102023,29.5,10.2,MARCOS JUAREZ AERO
28102023,29.0,16.5,MARIANO MORENO AERO
28102023,34.1,13.2,MENDOZA AERO
28102023,30.7,11.8,MENDOZA OBSERVATORIO
28102023,28.0,19.5,MERCEDES AERO (CTES)
28102023,30.0,17.2,MERLO AERO
28102023,32.5,17.5,METAN
28102023,29.6,18.0,MONTE CASEROS AERO
28102023,29.6,17.5,MORON AERO
28102023,23.2,15.5,NEUQUEN AERO
28102023,29.5,12.9,NUEVE DE JULIO
28102023,23.0,19.8,OBERA
28102023,27.7,12.5,OLAVARRIA AERO
28102023,36.2,19.3,ORAN AERO
28102023,30.5,15.1,PARANA AERO
28102023,17.1,6.2,PASO DE INDIOS
28102023,27.6,19.5,PASO DE LOS LIBRES AERO
28102023,30.2,10.7,PEHUAJO AERO
28102023,10.9,2.0,PERITO MORENO AERO
28102023,28.5,8.3,PIGUE AERO
28102023,32.2,11.0,PILAR OBSERVATORIO
28102023,24.0,19.8,POSADAS AERO
28102023,32.0,22.8,PRESIDENCIA ROQUE SAENZ PENA AERO
28102023,19.0,4.7,PUERTO DESEADO AERO
28102023,23.6,12.1,PUERTO MADRYN AERO
28102023,25.4,18.0,PUNTA INDIO B.A.
28102023,30.8,14.5,RAFAELA AERO
28102023,30.7,18.8,RECONQUISTA AERO
28102023,27.9,21.8,RESISTENCIA AERO
28102023,31.5,8.2,RIO CUARTO AERO
28102023,8.4,-0.4,RIO GALLEGOS AERO
28102023,8.0,-0.5,RIO GRANDE B.A.
28102023,36.0,22.3,RIVADAVIA
28102023,28.2,12.8,ROSARIO AERO
28102023,33.0,12.0,SALTA AERO
28102023,27.2,12.6,SAN ANTONIO OESTE AERO
28102023,28.1,16.6,SAN FERNANDO AERO
28102023,38.5,13.0,SAN JUAN AERO
28102023,14.5,3.9,SAN JULIAN AERO
28102023,32.5,13.0,SAN LUIS AERO
28102023,33.5,13.9,SAN MARTIN (MZA)
